"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"113","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",113,"PGR",-3.19113360120281,-0.442972415430827,-1.74251425993443
"114","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",114,"PGR",-3.86762549222438,-1.43628466248693,-2.55941394487237
"115","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",115,"AR",-3.54262975308282,-0.369111300074343,-1.91027669633914
"116","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",116,"AR",-4.11257138705962,-2.00002931396953,-3.02189040813347
"117","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",117,"AR",-3.36873751503945,-0.374764218441946,-1.83543898820886
"118","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",118,"SRC",-3.35821894037316,-1.26729873511996,-2.22815706262999
"119","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",119,"SRC",-3.59732291121956,-1.25569779425702,-2.37186482841911
"120","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",120,"SRC",-2.15842015648031,1.16532357199394,-0.362734024817407
"121","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",121,"ILK",-2.31781021046852,1.38982892605574,-0.225373825205184
"122","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",122,"ILK",-1.22195133264314,2.56073134844244,0.929774773827775
"123","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",123,"ILK",-2.36277657583698,1.440407272835,-0.160542797269235
"124","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",124,"PTK2",-0.170738041265202,3.88556453929878,2.06108832959732
"125","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",125,"PTK2",-1.78871351582852,3.70406663068103,0.869417688330912
"126","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",126,"PTK2",-3.51284534540412,-1.12448552454597,-2.21346941841817
"127","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",127,"KRAS",-2.94412301759043,-0.128526114573711,-1.42001729389824
"128","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",128,"KRAS",-3.62994582962788,-1.3961950726941,-2.47111617405916
"129","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",129,"KRAS",-3.73694704182088,-1.55008859455116,-2.57747252295493
"130","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",130,"NRAS",-1.55494121244833,2.19216062025464,0.659624615908157
"131","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",131,"NRAS",-2.61136980987441,0.738221238078057,-0.721038698147573
